31.13.91.174	instagram-p42-shv-01-ams3.fbcdn.net	ams3-1
31.13.64.174	instagram-p42-shv-01-amt2.fbcdn.net	amt2-1
31.13.72.174	instagram-p42-shv-01-arn2.fbcdn.net	arn2-1
31.13.65.174	instagram-p42-shv-01-atl3.fbcdn.net	atl3-1
157.240.6.174	instagram-p42-shv-01-bog1.fbcdn.net	bog1-1
157.240.16.174	instagram-p42-shv-01-bom1.fbcdn.net	bom1-1
179.60.195.174	instagram-p42-shv-01-bru2.fbcdn.net	bru2-1
31.13.88.174	instagram-p42-shv-01-cai1.fbcdn.net	cai-1
157.240.21.174	instagram-p42-shv-01-cdt1.fbcdn.net	cdt1-1
157.240.3.174	instagram-p42-shv-01-dft4.fbcdn.net	dft4-1
31.13.66.174	instagram-p42-shv-02-dft4.fbcdn.net	dft4-2
157.240.17.174	instagram-p42-shv-03-dft4.fbcdn.net	dft4-3
31.13.73.174	instagram-p42-shv-01-dub4.fbcdn.net	dub4-1
31.13.94.174	instagram-p42-shv-01-eze1.fbcdn.net	eze1-1
31.13.92.174	instagram-p42-shv-01-frt3.fbcdn.net	frt3-1
157.240.20.174	instagram-p42-shv-02-frt3.fbcdn.net	frt3-2
31.13.74.174	instagram-p42-shv-01-gig2.fbcdn.net	gig2-1
31.13.85.174	instagram-p42-shv-01-gru2.fbcdn.net	gru2-1
157.240.12.174	instagram-p42-shv-02-gru2.fbcdn.net	gru2-2
31.13.95.174	instagram-p42-shv-01-hkg3.fbcdn.net	hkg3-1
157.240.15.174	instagram-p42-shv-02-hkg3.fbcdn.net	hkg3-2
31.13.69.174	instagram-p42-shv-01-iad3.fbcdn.net	iad3-1
31.13.68.174	instagram-p42-shv-01-icn1.fbcdn.net	icn1-1
157.240.10.174	instagram-p42-shv-01-kut2.fbcdn.net	kut2-1
31.13.70.174	instagram-p42-shv-01-lax3.fbcdn.net	lax3-1
157.240.11.174	instagram-p42-shv-02-lax3.fbcdn.net	lax3-2
31.13.71.174	instagram-p42-shv-01-lga3.fbcdn.net	lga3-1
31.13.90.174	instagram-p42-shv-01-lhr3.fbcdn.net	lhr3-1
157.240.1.174	instagram-p42-shv-01-lht6.fbcdn.net	lht6-1
31.13.83.174	instagram-p42-shv-01-mad1.fbcdn.net	mad1-1
31.13.67.174	instagram-p42-shv-01-mia3.fbcdn.net	mia3-1
157.240.14.174	instagram-p42-shv-02-mia3.fbcdn.net	mia3-2
31.13.75.174	instagram-p42-shv-01-mrs1.fbcdn.net	mrs1-1
31.13.86.174	instagram-p42-shv-01-mxp1.fbcdn.net	mxp1-1
31.13.82.174	instagram-p42-shv-01-nrt1.fbcdn.net	nrt1-1
157.240.2.174	instagram-p42-shv-01-ort2.fbcdn.net	ort2-1
157.240.18.174	instagram-p42-shv-02-ort2.fbcdn.net	ort2-2
31.13.76.174	instagram-p42-shv-01-sea1.fbcdn.net	sea1-1
157.240.7.174	instagram-p42-shv-01-sin6.fbcdn.net	sin6-1
157.240.13.174	instagram-p42-shv-02-sin6.fbcdn.net	sin6-2
31.13.78.174	instagram-p42-shv-01-sit4.fbcdn.net	sit4-1
157.240.22.174	instagram-p42-shv-01-sjc3.fbcdn.net	sjc3-1
157.240.9.174	instagram-p42-shv-01-sof1.fbcdn.net	sof1-1
157.240.8.174	instagram-p42-shv-01-syd2.fbcdn.net	syd2-1
31.13.87.174	instagram-p42-shv-01-tpe1.fbcdn.net	tpe1-1
31.13.84.174	instagram-p42-shv-01-vie1.fbcdn.net	vie1-1
31.13.81.174	instagram-p42-shv-01-waw1.fbcdn.net	waw1-1
31.13.80.174	instagram-p42-shv-01-yyz1.fbcdn.net	yyz1-1
185.60.218.174	Unknown	Unknown
185.60.219.174	Unknown	Unknown
